id,symbol,price,side,volume,high,low,max_profit,max_loss,,
15702002,ETHUSDT,1739.87,2,0.026,1767.12,1728.71,0.7085,0.29016,,
15702004,XRPUSDT,0.4225,1,856.5,0.4272,0.4159,5.6529,4.02555,,
15702005,XRPUSDT,0.4222,2,41.9,0.4272,0.4159,0.2095,0.26397,,
15702006,XRPUSDT,0.4223,1,85,0.4272,0.4159,0.544,0.4165,,
15702012,BTCUSDT,27615.62,2,0.0005,27876.52,27000,0.13045,0.30781,,
15702021,XRPUSDT,0.4241,1,230.3,0.4272,0.4159,1.88846,0.71393,,
15702025,XRPUSDT,0.4242,1,231.5,0.4272,0.4159,1.92145,0.6945,,
15702027,XRPUSDT,0.4245,1,233.8,0.4272,0.4159,2.01068,0.63126,,
15702029,XRPUSDT,0.4243,1,233.9,0.4272,0.4159,1.96476,0.67831,,
15702036,XRPUSDT,0.4243,1,29,0.4272,0.4159,0.2436,0.0841,,
15702037,ETHUSDT,1741.11,1,0.007,1767.12,1728.71,0.0868,0.18207,,
15702039,XRPUSDT,0.4238,1,234.1,0.4272,0.4159,1.84939,0.79594,,
15702040,BTCUSDT,27690.98,1,0.0005,27876.52,27000,0.34549,0.09277,,
15702043,XRPUSDT,0.423,1,234.7,0.4272,0.4159,1.66637,0.98574,,
15702047,XRPUSDT,0.4234,1,234.1,0.4272,0.4159,1.75575,0.88958,,
15702048,XRPUSDT,0.4233,1,234.1,0.4272,0.4159,1.73234,0.91299,,
15702053,XRPUSDT,0.4239,2,165.1,0.4272,0.4159,0.54483,1.3208,,
15702055,XRPUSDT,0.4239,1,233.9,0.4272,0.4159,1.8712,0.77187,,
15702058,ETHUSDT,1743.74,2,0.05,1767.12,1728.71,1.169,0.7515,,
15702063,ETHUSDT,1743.94,2,0.024,1767.12,1728.71,0.55632,0.36552,,
15702067,XRPUSDT,0.4238,2,70.6,0.4272,0.4159,0.24004,0.55774,,
15702069,XRPUSDT,0.4238,2,70.6,0.4272,0.4159,0.24004,0.55774,,
15702070,XRPUSDT,0.4238,2,57.7,0.4272,0.4159,0.19618,0.45583,,
15702072,XRPUSDT,0.424,2,1318.3,0.4272,0.4159,4.21856,10.67823,,
15702079,XRPUSDT,0.4234,2,2428,0.4272,0.4159,9.2264,18.21,,
15702083,BTCUSDT,27711.28,1,0.0073,27876.52,27000,5.192344,1.206252,,
15702085,ETHUSDT,1746.81,2,0.007,1767.12,1728.71,0.14217,0.1267,,
15702087,BTCUSDT,27751.58,1,0.0083,27876.52,27000,6.238114,1.037002,,
15702089,XRPUSDT,0.4234,2,494.7,0.4272,0.4159,1.87986,3.71025,,
15702090,BTCUSDT,27760.57,2,0.0005,27876.52,27000,0.057975,0.380285,,
15702099,XRPUSDT,0.4232,2,29,0.4272,0.4159,0.116,0.2117,,
15702100,XRPUSDT,0.4234,1,233.5,0.4272,0.4159,1.75125,0.8873,,
15702101,XRPUSDT,0.4233,1,262.9,0.4272,0.4159,1.94546,1.02531,,
15702102,XRPUSDT,0.4232,1,289.5,0.4272,0.4159,2.11335,1.158,,
15702112,XRPUSDT,0.4222,1,233.9,0.4272,0.4159,1.47357,1.1695,,
15702113,BTCUSDT,27687.87,1,0.0762,27876.52,27000,52.415694,14.37513,,
15702115,ETHUSDT,1739.84,1,0.056,1767.12,1728.71,0.62328,1.52768,,
15702116,ETHUSDT,1739.86,1,0.186,1767.12,1728.71,2.0739,5.07036,,
15702117,ETHUSDT,1739.85,1,0.826,1767.12,1728.71,9.20164,22.52502,,
15702118,XRPUSDT,0.422,1,856.3,0.4272,0.4159,5.22343,4.45276,,
15702122,XRPUSDT,0.4221,2,1930,0.4272,0.4159,9.843,11.966,,
15702124,XRPUSDT,0.4228,2,39.7,0.4272,0.4159,0.17468,0.27393,,
15702125,XRPUSDT,0.4224,1,235,0.4272,0.4159,1.5275,1.128,,
15702126,XRPUSDT,0.4221,1,103.9,0.4272,0.4159,0.64418,0.52989,,
15702127,XRPUSDT,0.4224,1,234.9,0.4272,0.4159,1.52685,1.12752,,
15702128,XRPUSDT,0.4223,1,235,0.4272,0.4159,1.504,1.1515,,
15702129,XRPUSDT,0.4223,2,712.4,0.4272,0.4159,3.49076,4.55936,,
15702130,BTCUSDT,27723.61,1,0.0247,27876.52,27000,17.873167,3.776877,,
15702132,XRPUSDT,0.4221,1,235,0.4272,0.4159,1.457,1.1985,,
15702133,XRPUSDT,0.4223,1,235.2,0.4272,0.4159,1.50528,1.15248,,
15702134,BTCUSDT,27711.47,1,0.0005,27876.52,27000,0.355735,0.082525,,
15702135,XRPUSDT,0.4219,1,2624.9,0.4272,0.4159,15.7494,13.91197,,
15702137,XRPUSDT,0.4219,1,863.3,0.4272,0.4159,5.1798,4.57549,,
15702138,XRPUSDT,0.4218,2,60,0.4272,0.4159,0.324,0.354,,
15702139,XRPUSDT,0.4219,1,234.6,0.4272,0.4159,1.4076,1.24338,,
15702140,XRPUSDT,0.4218,2,139.4,0.4272,0.4159,0.75276,0.82246,,
15702142,XRPUSDT,0.4219,1,85.1,0.4272,0.4159,0.5106,0.45103,,
15702143,XRPUSDT,0.422,2,442,0.4272,0.4159,2.2984,2.6962,,
15702144,XRPUSDT,0.4217,2,70.9,0.4272,0.4159,0.38995,0.41122,,
15702145,XRPUSDT,0.4217,2,70.9,0.4272,0.4159,0.38995,0.41122,,
15702146,XRPUSDT,0.4217,2,71,0.4272,0.4159,0.3905,0.4118,,
15702147,XRPUSDT,0.4217,2,48,0.4272,0.4159,0.264,0.2784,,
15702148,XRPUSDT,0.4217,2,48,0.4272,0.4159,0.264,0.2784,,
15702149,XRPUSDT,0.4217,2,165.9,0.4272,0.4159,0.91245,0.96222,,
15702150,XRPUSDT,0.4217,2,165.9,0.4272,0.4159,0.91245,0.96222,,
